WGSID,OHIO_ID,PROJECT_ID,DATE_ASSIGNED
2023ZN-0050,2023023466,OH-M6588-231215,20240111
2023ZN-0051,2023023467,OH-M6588-231215,20240111
2023ZN-0052,2023023475,OH-M6588-231215,20240111
2023ZN-0053,2023023501,OH-M6588-231215,20240111
2023ZN-0054,2023023502,OH-M6588-231215,20240111
2023ZN-0055,2023023503,OH-M6588-231215,20240111
2023ZN-0056,2023023506,OH-M6588-231215,20240111
2023ZN-0057,2023023516,OH-M6588-231215,20240111
2023ZN-0058,2023023538,OH-M6588-231215,20240111
2023ZN-0059,2023023540,OH-M6588-231215,20240111
2023ZN-0060,2023023541,OH-M6588-231215,20240111
2023ZN-0061,2023023542,OH-M6588-231215,20240111
2023ZN-0062,2023023543,OH-M6588-231215,20240111
2023ZN-0063,24AR000317,OH-M6588-2402050,20240208
2023ZN-0064,24AR000335,OH-M6588-2402050,20240208
2023ZN-0065,24AR000336,OH-M6588-2402050,20240208
2023ZN-0066,24AR000337,OH-M6588-2402050,20240208
2023ZN-0067,24AR000338,OH-M6588-2402050,20240208
2023ZN-0068,24AR000339,OH-M6588-2402050,20240208
2023ZN-0069,2023020436,OH-M6588-2402050,20240208
2023ZN-0070,2023021045,OH-M6588-2402050,20240208
2023ZN-0071,24AR000340,OH-M6588-2402050,20240208
2023ZN-0072,24AR000344,OH-M6588-2402050,20240208
2023ZN-0073,24AR000358,OH-M6588-2402050,20240208
2023ZN-0074,24AR000359,OH-M6588-2402050,20240208
2023ZN-0075,24AR000362,OH-M6588-2402050,20240208
2023ZN-0076,24AR000363,OH-M6588-2402050,20240208
2023ZN-0077,24AR000364,OH-M6588-2402050,20240208
2023ZN-0078,2023023289,OH-M6588-231211,20240218
2023ZN-0079,2023023293,OH-M6588-231211,20240218
2023ZN-0080,2023023395,OH-M6588-231211,20240218
2023ZN-0081,2023023433,OH-M6588-231211,20240218
2023ZN-0082,2023023537,OH-M6588-231229,20240224
2023ZN-0083,2023023544,OH-M6588-231229,20240224
2023ZN-0084,2023023556,OH-M6588-231229,20240224
2023ZN-0085,2023023567,OH-M6588-231229,20240224
2023ZN-0086,2023023568,OH-M6588-231229,20240224
2023ZN-0087,2023023559,OH-M6588-231229,20240224
2023ZN-0088,2023023560,OH-M6588-231229,20240224
2023ZN-0089,2023023576,OH-M6588-231229,20240224
2023ZN-0090,2023023578,OH-M6588-231229,20240224
2023ZN-0091,2023023582,OH-M6588-231229,20240224
2023ZN-0092,2023023586,OH-M6588-231229,20240224
2023ZN-0093,2023023597,OH-M6588-231229,20240224
2023ZN-0094,2023023598,OH-M6588-231229,20240224
2023ZN-0095,2023023604,OH-M5185-231229,20240226
2023ZN-0096,2023023632,OH-M5185-231229,20240226
2023ZN-0097,2023023633,OH-M5185-231229,20240226
2023ZN-0098,2023023634,OH-M5185-231229,20240226
2023ZN-0099,2023023636,OH-M5185-231229,20240226
2023ZN-0100,2023023656,OH-M5185-231229,20240226
2023ZN-0101,2023023661,OH-M5185-231229,20240226
2023ZN-0102,2023023664,OH-M5185-231229,20240226
2023ZN-0103,2023023665,OH-M5185-231229,20240226
2023ZN-0104,2023023666,OH-M5185-231229,20240226
2023ZN-0105,2023023667,OH-M5185-231229,20240226
2023ZN-0106,2023023668,OH-M5185-231229,20240226
2023ZN-0107,2023023670,OH-M5185-240105,20240227
2023ZN-0108,2023023671,OH-M5185-240105,20240227
2023ZN-0109,2023023672,OH-M5185-240105,20240227
2023ZN-0110,2023023673,OH-M5185-240105,20240227
2023ZN-0111,2023023674,OH-M5185-240105,20240227
2023ZN-0112,2023023675,OH-M5185-240105,20240227
2023ZN-0113,2023023682,OH-M5185-240105,20240227
2023ZN-0114,23AR000011,OH-M5185-240105,20240227
2023ZN-0115,23AR000015,OH-M5185-240105,20240227
2023ZN-0116,23AR000022,OH-M5185-240105,20240227
2023ZN-0117,2023023676,OH-M5185-240105,20240227
2023ZN-0118,23AR000029,OH-M5185-240105,20240227
2023ZN-0119,23AR000051,OH-M5185-240105,20240227
2024ZN-0000,START,START,START
